CityID,ObsID,year,LastObservation,City,metro_names,Country,continent,region,subregion,state_name,state_abbr,population,longitude,latitude,Walking,Cycling,Motorbykes,Active,Bus,Car,IncomeGroup,DataSource,DataLink,GDPPP 2022
M10004,C001,2019,YES,Abilene,"Abilene, TX Metro Area",United States,North America,North America,Northern America,Texas,TX,164878,-99.7331439,32.4487364,NA,NA,NA,0.009901,0.0022,0.987899,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10005,ID0010,2018,YES,Accra,Accra,Ghana,Africa,Sub-Saharan Africa,West Africa,,,4452483,-0.2,5.57,0.49505,0.009901,NA,0.50495,0.15842,0.33663,Lower middle income,Local Governments for Sustainability - ICLEI,https://iclei.org/ ,2238.158021
M10006,ID0011,2011,YES,Addis Ababa,Addis Ababa,Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa,,,3711329,38.75,9.01,NA,NA,NA,0.54,0.31,0.15,Low income,Local Governments for Sustainability - ICLEI,https://iclei.org/ ,1293.778008
M10007,ID0012,2016,YES,Adelaide,Adelaide,Australia,Oceania,East Asia and Pacific,Australia and New Zeland,,,1288681,138.54,-34.95,0.03,0.01,NA,0.04,0.11,0.85,High income,ABS census data 2016 journey to work,https://chartingtransport.com/2017/10/24/trends-in-journey-to-work-mode-shares-in-australian-cities-to-2016/,64711.7656
M10008,C002,2019,YES,Aguadilla-Isabela,"Aguadilla-Isabela, PR Metro Area",United States,North America,North America,Northern America,PuertoRico,PR,327849,-67.0243462,18.5007759,0.031949,0.00213,NA,0.034079,0.001065,0.964856,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10009,ID0013,2011,YES,Agueda,Agueda,Portugal,Europe,Europe,Southern Europe,,,47729,-8.443,40.575,0.13,0.02,NA,0.15,0.03,0.82,High income,The European Platform on Mobility Management,https://epomm.eu/ ,27275.11155
M10010,ID0014,2011,YES,Ahmedabad,Ahmedabad,India,Asia,South Asia,Southern Asia,,,5600000,72.62,23.03,NA,NA,NA,0.36,0.16,0.48,Lower middle income,Census of India 2011,https://censusindia.gov.in/census.website/,2484.845429
M10011,ID0015,2009,YES,Aix,Aix,France,Europe,Europe,Western Europe,,,317000,5.443,43.527,0.26,0.01,NA,0.27,0.07,0.66,High income,The European Platform on Mobility Management,https://epomm.eu/ ,44460.81785
M10012,C003,2019,YES,Akron,"Akron, OH Metro Area",United States,North America,North America,Northern America,Ohio,OH,695688,-81.5190053,41.0814447,0.018913,0.001182,NA,0.020095,0.010638,0.969267,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10013,C004,2019,YES,Albany,"Albany, OR Metro Area",United States,North America,North America,Northern America,Oregon,OR,117080,-123.087973,44.639823,0.021814,0.005741,NA,0.027555,0.008037,0.964409,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10014,C005,2019,YES,Albany,"Albany, GA Metro Area",United States,North America,North America,Northern America,Georgia,GA,154351,-84.15848,31.57032,NA,NA,NA,0.0131,0.007642,0.979258,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10015,C006,2019,YES,Albany,"Albany-Schenectady-Troy, NY Metro Area",United States,North America,North America,Northern America,New York,NY,866964,-73.7515,42.6517,0.030941,0.002475,NA,0.033416,0.02599,0.940594,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10016,C007,2019,YES,Albuquerque,"Albuquerque, NM Metro Area",United States,North America,North America,Northern America,New Mexico,NM,887976,-106.6055534,35.0853336,0.018405,0.007362,NA,0.025767,0.006135,0.968098,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10017,ID0016,2014,YES,Ålesund,Ålesund,Norway,Europe,Europe,Northern Europe,,,45747,6.149,62.471,0.21,0.03,NA,0.24,0.06,0.7,High income,The European Platform on Mobility Management,https://epomm.eu/ ,87961.78061
M10018,C008,2019,YES,Alexandria,"Alexandria, LA Metro Area",United States,North America,North America,Northern America,Louisiana,LA,152783,-92.45763,31.291683,0.011828,0.004301,NA,0.016129,0.016129,0.967742,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10019,ID0017,2004,NO,Alicante,Alicante,Spain,Europe,Europe,Southern Europe,,,333000,-0.48,38.36,NA,NA,NA,0.18,0.13,0.69,High income,Urban Audit,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/urban-audit,32676.98371
M10019,ID0799,2008,YES,Alicante,Alicante,Spain,Europe,Europe,Southern Europe,,,350598,-0.48,38.36,0.348097503,0.003864447,0.001882679,0.35196195,0.053309552,0.594728498,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,32676.98371
M10020,C009,2019,YES,Allentown,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",United States,North America,North America,Northern America,Pennsylvania,PA,817821,-75.4440964,40.6516458,0.02401,0.0012,NA,0.02521,0.010804,0.963986,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10021,ID0019,2006,NO,Almada,Almada,Portugal,Europe,Europe,Southern Europe,,,174030,-9.157,38.677,0.19,0.01,NA,0.2,0.3,0.5,High income,The European Platform on Mobility Management,https://epomm.eu/ ,27275.11155
M10021,ID0018,2017,YES,Almada,Almada,Portugal,Europe,Europe,Southern Europe,,,174030,-9.157,38.677,0.17,0.01,NA,0.18,0.36,0.46,High income,Local Governments for Sustainability - ICLEI,https://iclei.org/ ,27275.11155
M10022,ID0021,2001,NO,Almere,Almere,Netherlands,Europe,Europe,Western Europe,,,186011,5.242,52.367,0.2,0.32,NA,0.52,0.08,0.4,High income,The European Platform on Mobility Management,https://epomm.eu/ ,62536.73203
M10022,ID0802,2003,NO,Almere,Almere,Netherlands,Europe,Europe,Western Europe,,,222825,5.242,52.367,0.04,0.14,0.03,0.18,0.11,0.71,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,62536.73203
M10022,ID0020,2020,YES,Almere,Almere,Netherlands,Europe,Europe,Western Europe,,,186011,5.242,52.367,0.2,0.22,NA,0.42,0.13,0.45,High income,MOBILITEITSVISIE ALMERE 2020-2030,https://ingesprek.almere.nl/fileadmin/user_upload/Almere_Mobiliteitsvisie_2020_-_2030-gecomprimeerd.pdf,62536.73203
M10023,ID0022,2014,YES,Alta,Alta,Norway,Europe,Europe,Northern Europe,,,19822,23.267,69.97,0.17,0.05,NA,0.22,0.04,0.74,High income,The European Platform on Mobility Management,https://epomm.eu/ ,87961.78061
M10024,C010,2019,YES,Altoona,"Altoona, PA Metro Area",United States,North America,North America,Northern America,Pennsylvania,PA,125485,-78.3947359,40.5186809,NA,NA,NA,0.029284,0.004338,0.966377,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10025,C011,2019,YES,Amarillo,"Amarillo, TX Metro Area",United States,North America,North America,Northern America,Texas,TX,253391,-101.8312969,35.2219971,0.009989,0.00222,NA,0.012209,0.00222,0.985572,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10026,ID0804,2003,NO,Amersfoort,Amersfoort,Netherlands,Europe,Europe,Western Europe,,,160759,5.39,52.14,0.02,0.25,0.05,0.27,0.12,0.61,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,62536.73203
M10026,ID0023,2008,YES,Amersfoort,Amersfoort,Netherlands,Europe,Europe,Western Europe,,,152481,5.39,52.14,0.152542,0.33001,NA,0.48255,0.05384,0.46361,High income,Central Bureau of Statistics - The Netherlands,https://www.cbs.nl/-/media/_excel/2020/46/modal-split-verplaatsingen-gemeente-amersfoort-2018-tm-2019.xlsx,62536.73203
M10027,C012,2019,YES,Ames,"Ames, IA Metro Area",United States,North America,North America,Northern America,Iowa,IA,90975,-93.635305,42.027349,0.07385,0.012107,NA,0.085956,0.026634,0.887409,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10028,ID0805,2007,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,0.171717172,0.050505051,0.01010101,0.222222222,0.141414141,0.636363636,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0806,2010,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,NA,NA,NA,0.148305085,0.158898305,0.69279661,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0807,2011,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,0.14012236,0.052595224,0.015887113,0.192717584,0.150976909,0.656305506,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0808,2012,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,NA,NA,NA,0.154334038,0.165961945,0.679704017,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0809,2013,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,NA,NA,NA,0.150105708,0.169133192,0.680761099,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0810,2014,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,NA,NA,NA,0.146031746,0.172486772,0.681481481,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0811,2015,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,NA,NA,NA,0.140591966,0.17653277,0.682875264,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0812,2016,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,NA,NA,NA,0.136652542,0.180084746,0.683262712,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0813,2017,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,0.128,0.048,0.013,0.176,0.171,0.653,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0814,2018,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,0.13,0.052,0.014,0.182,0.171,0.647,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0815,2019,NO,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,0.13,0.052,0.014,0.182,0.171,0.647,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10028,ID0816,2020,YES,Amiens,Amiens,France,Europe,Europe,Western Europe,,,147426,2.31,49.88,0.131,0.056,0.014,0.187,0.173,0.64,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10029,ID0817,2003,NO,Amsterdam,Amsterdam,Netherlands,Europe,Europe,Western Europe,,,1059596,4.91,52.38,0.04,0.22,0.03,0.26,0.3,0.44,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,62536.73203
M10029,ID0027,2008,NO,Amsterdam,Amsterdam,Netherlands,Europe,Europe,Western Europe,,,747093,4.91,52.38,0.2,0.22,NA,0.42,0.2,0.38,High income,Quantifying dimensions of Transportation Diversity: A city-based comparative approach,"Pareekh, P., Mitra, S., Majumdar, B.B.: Quantifying dimensions of Transportation Diversity: A city-based comparative approach. Transportation Research Procedia (25), 3174–3187 (2017)",62536.73203
M10029,ID0026,2011,NO,Amsterdam,Amsterdam,Netherlands,Europe,Europe,Western Europe,,,747093,4.91,52.38,0.256743,0.320679,NA,0.57742,0.14186,0.28072,High income,Dataplatform - The Netherlands,https://ckan.dataplatform.nl/dataset/41161a2c-3e1c-4872-a254-df33b895edfc/resource/51c67e43-8e75-488b-a5ab-323d1424489f/download/mobiliteit-den-haag-2011-2014.pdf,62536.73203
M10029,ID0025,2014,YES,Amsterdam,Amsterdam,Netherlands,Europe,Europe,Western Europe,,,747093,4.91,52.38,0.04,0.4,NA,0.44,0.29,0.27,High income,Urban Audit,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/urban-audit,62536.73203
M10030,C013,2019,YES,Anchorage,"Anchorage, AK Metro Area",United States,North America,North America,Northern America,Alaska,AK,386261,-149.9002778,61.2180556,0.027304,0.009101,NA,0.036405,0.013652,0.949943,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10031,C014,2019,YES,Ann Arbor,"Ann Arbor, MI Metro Area",United States,North America,North America,Northern America,Michigan,MI,347784,-83.7430378,42.2808256,0.06108,0.011364,NA,0.072443,0.035511,0.892045,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10032,ID0845,2007,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,0.09,0.02,0.04,0.11,0.12,0.77,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0028,2009,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,35234,6.23,46.19,0.27,0.02,NA,0.29,0.05,0.66,High income,Plan de Déplacements Urbains d’Annemasse Agglo 2014,https://www.annemasse-agglo.fr/sites/default/files/2018-02/DOC-OFFICIEL_PDU_Complet_AnnemasseAgglo_.pdf,44460.81785
M10032,ID0846,2010,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,NA,NA,NA,0.114006515,0.181324647,0.704668838,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0847,2011,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,0.105655061,0.019923526,0.054336889,0.125578587,0.178104246,0.696317166,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0848,2012,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,NA,NA,NA,0.117647059,0.205882353,0.676470588,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0849,2013,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,NA,NA,NA,0.114035088,0.222587719,0.663377193,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0850,2014,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,NA,NA,NA,0.114285714,0.231868132,0.653846154,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0851,2015,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,NA,NA,NA,0.113311331,0.239823982,0.646864686,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0852,2016,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,NA,NA,NA,0.112582781,0.240618102,0.646799117,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0853,2017,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,0.101,0.048,0.058,0.149,0.216,0.635,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0854,2018,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,0.1001001,0.059059059,0.058058058,0.159159159,0.221221221,0.61961962,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0855,2019,NO,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,0.098901099,0.05994006,0.058941059,0.158841159,0.221778222,0.619380619,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10032,ID0856,2020,YES,Annemasse,Annemasse,France,Europe,Europe,Western Europe,,,63428,6.23,46.19,0.098,0.064,0.056,0.162,0.234,0.604,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,44460.81785
M10034,ID0031,2008,NO,Antwerp,Antwerp,Belgium,Europe,Europe,Western Europe,,,483505,4.417,51.211,0.2,0.23,NA,0.43,0.17,0.4,High income,The European Platform on Mobility Management,https://epomm.eu/ ,53475.2935
M10034,ID0030,2010,YES,Antwerp,Antwerp,Belgium,Europe,Europe,Western Europe,,,506000,4.417,51.211,0.2,0.23,NA,0.43,0.16,0.41,High income,The European Platform on Mobility Management,https://epomm.eu/ ,53475.2935
M10035,ID0859,2003,NO,Apeldoorn,Apeldoorn,Netherlands,Europe,Europe,Western Europe,,,167191,5.973,52.217,0.02,0.29,0.02,0.31,0.06,0.63,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,62536.73203
M10035,ID0032,2008,YES,Apeldoorn,Apeldoorn,Netherlands,Europe,Europe,Western Europe,,,155108,5.973,52.217,0.13,0.28,NA,0.41,0.04,0.55,High income,Cycling Academics. Bringing science on cycling to practice and back,http://cyclingacademics.blogspot.com/2013/05/if-cycling-is-not-genetic-what-is-it.html,62536.73203
M10036,C016,2019,YES,Appleton,"Appleton, WI Metro Area",United States,North America,North America,Northern America,Wisconsin,WI,226172,-88.4153847,44.2619309,0.024619,0.010551,NA,0.03517,0.009379,0.955451,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10037,ID0861,2003,NO,Arnhem,Arnhem,Netherlands,Europe,Europe,Western Europe,,,180884,5.906,51.975,0.05,0.19,0.04,0.24,0.14,0.62,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,62536.73203
M10037,ID0033,2016,YES,Arnhem,Arnhem,Netherlands,Europe,Europe,Western Europe,,,143582,5.906,51.975,0.130435,0.26087,NA,0.3913,0.15652,0.45217,High income,The European Platform on Mobility Management,https://epomm.eu/ ,62536.73203
M10038,C018,2019,YES,Asheville,"Asheville, NC Metro Area",United States,North America,North America,Northern America,North Carolina,NC,429136,-82.5514869,35.5950581,0.014151,0.001179,NA,0.01533,0.003538,0.981132,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10039,ID0034,2006,YES,Athens,Athens,Greece,Europe,Europe,Southern Europe,,,3600000,23.726,37.971,0.08,0.02,NA,0.1,0.37,0.53,High income,The European Platform on Mobility Management,https://epomm.eu/ ,22990.01357
M10040,C019,2019,YES,Athens,"Athens-Clarke County, GA Metro Area",United States,North America,North America,Northern America,Georgia,GA,194156,-83.357567,33.9519347,0.02657,0.013285,NA,0.039855,0.004831,0.955314,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10041,C020,2019,YES,Atlanta,"Atlanta-Sandy Springs-Roswell, GA Metro Area",United States,North America,North America,Northern America,Georgia,GA,5386650,-84.3792807,33.9140274,0.013193,0.001319,NA,0.014512,0.013193,0.972296,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10042,C021,2019,YES,Atlantic City,"Atlantic City-Hammonton, NJ Metro Area",United States,North America,North America,Northern America,New Jersey,NJ,272863,-74.4229351,39.3642852,0.039503,0.006772,NA,0.046275,0.049661,0.904063,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10043,ID0035,2018,YES,Auckland,Auckland,New Zealand,Oceania,East Asia and Pacific,Australia and New Zeland,,,1614000,174.85,-36.86,0.050505,0.010101,NA,0.060606,0.121212,0.818182,High income,NZ Census 2018,https://www.stats.govt.nz/2018-census/,48527.82892
M10044,ID0878,2001,NO,Augsburg,Augsburg,Germany,Europe,Europe,Western Europe,,,301033,10.897,48.354,0.077,0.1,0.01,0.177,0.275,0.548,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10044,ID0879,2004,NO,Augsburg,Augsburg,Germany,Europe,Europe,Western Europe,,,301033,10.897,48.354,0.092,0.083,0.01,0.175,0.265,0.56,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10044,ID0880,2005,NO,Augsburg,Augsburg,Germany,Europe,Europe,Western Europe,,,301033,10.897,48.354,0.089178357,0.130260521,0.014028056,0.219438878,0.260521042,0.52004008,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10044,ID0881,2006,NO,Augsburg,Augsburg,Germany,Europe,Europe,Western Europe,,,301033,10.897,48.354,0.089178357,0.130260521,0.014028056,0.219438878,0.260521042,0.52004008,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10044,ID0882,2007,NO,Augsburg,Augsburg,Germany,Europe,Europe,Western Europe,,,301033,10.897,48.354,0.089178357,0.130260521,0.014028056,0.219438878,0.260521042,0.52004008,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10044,ID0883,2008,NO,Augsburg,Augsburg,Germany,Europe,Europe,Western Europe,,,301033,10.897,48.354,0.089178357,0.130260521,0.014028056,0.219438878,0.260521042,0.52004008,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10044,ID0884,2009,NO,Augsburg,Augsburg,Germany,Europe,Europe,Western Europe,,,301033,10.897,48.354,0.089178357,0.130260521,0.014028056,0.219438878,0.260521042,0.52004008,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10044,ID0885,2012,NO,Augsburg,Augsburg,Germany,Europe,Europe,Western Europe,,,301033,10.897,48.354,0.090909091,0.143434343,NA,0.234343434,0.22020202,0.545454545,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10044,ID0886,2016,YES,Augsburg,Augsburg,Germany,Europe,Europe,Western Europe,,,301033,10.897,48.354,0.087,0.139,0.003,0.226,0.24,0.534,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,52745.75571
M10045,C023,2019,YES,Augusta-Richmond County,"Augusta-Richmond County, GA-SC Metro Area",United States,North America,North America,Northern America,Georgia,GA,568595,-82.0105148,33.4734978,0.008859,0.001107,NA,0.009967,0.002215,0.987818,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10046,C024,2019,YES,Austin,"Austin-Round Rock, TX Metro Area",United States,North America,North America,Northern America,Texas,TX,1810894,-97.7436995,30.2711286,0.022091,0.005891,NA,0.027982,0.010309,0.961708,High income,US CENSUS DATA - Commuting,https://censusreporter.org/ ,81695.18707
M10047,ID0887,2001,NO,Aveiro,Aveiro,Portugal,Europe,Europe,Southern Europe,,,86037,-8.634,40.648,NA,NA,0.083662851,0.164828304,0.145889698,0.689281998,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,27275.11155
M10047,ID0039,2008,NO,Aveiro,Aveiro,Portugal,Europe,Europe,Southern Europe,,,78000,-8.634,40.648,0.13,0.08,NA,0.21,0.14,0.65,High income,The European Platform on Mobility Management,https://epomm.eu/ ,27275.11155
M10047,ID0888,2011,YES,Aveiro,Aveiro,Portugal,Europe,Europe,Southern Europe,,,86037,-8.634,40.648,0.089347428,0.028054483,0.029172596,0.117401911,0.068408213,0.814189876,High income,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/urb_ltran/,27275.11155
M10048,ID0040,2013,YES,Balchik,Balchik,Bulgaria,Europe,Europe,Eastern Europe,,,12755,28.16,43.412,0.287129,0.089109,NA,0.37624,0.15842,0.46535,Upper middle income,The European Platform on Mobility Management,https://epomm.eu/ ,15797.59558
